shipment_id,origin_city,destination_city,distance_km,baseline_co2_kg,actual_co2_kg,saved_co2_kg,methodology,verification_status,is_demo,created_at
demo-shp-0075,Пловдив,София,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-07-25T20:38:00.000Z
demo-shp-0074,София,Пловдив,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-07-26T19:07:00.000Z
demo-shp-0073,София,Пловдив,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-07-26T19:38:00.000Z
demo-shp-0071,София,Пловдив,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-07-27T21:45:00.000Z
demo-shp-0070,София,Варна,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-07-28T19:36:00.000Z
demo-shp-0069,Пловдив,София,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-07-29T19:58:00.000Z
demo-shp-0068,София,Варна,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-07-29T21:41:00.000Z
demo-shp-0066,София,Пловдив,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-07-30T20:20:00.000Z
demo-shp-0067,Варна,София,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-07-30T20:52:00.000Z
demo-shp-0064,София,Варна,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-07-31T20:46:00.000Z
demo-shp-0063,София,Варна,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-01T22:24:00.000Z
demo-shp-0062,София,Варна,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-02T22:18:00.000Z
demo-shp-0059,София,Варна,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-03T19:07:00.000Z
demo-shp-0060,София,Пловдив,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-03T22:21:00.000Z
demo-shp-0058,София,Пловдив,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-04T21:11:00.000Z
demo-shp-0056,София,Пловдив,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-05T19:32:00.000Z
demo-shp-0057,Пловдив,София,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-05T21:31:00.000Z
demo-shp-0055,Пловдив,София,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-06T22:58:00.000Z
demo-shp-0049,София,Варна,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-09T19:36:00.000Z
demo-shp-0050,София,Пловдив,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-09T20:51:00.000Z
demo-shp-0047,София,Варна,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-10T20:25:00.000Z
demo-shp-0048,София,Пловдив,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-10T20:33:00.000Z
demo-shp-0045,Пловдив,София,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-11T19:02:00.000Z
demo-shp-0044,Пловдив,София,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-12T22:32:00.000Z
demo-shp-0042,Пловдив,София,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-13T20:44:00.000Z
demo-shp-0043,София,Варна,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-13T22:56:00.000Z
demo-shp-0040,София,Пловдив,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-14T21:00:00.000Z
demo-shp-0038,Варна,София,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-16T21:08:00.000Z
demo-shp-0037,София,Варна,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-16T22:57:00.000Z
demo-shp-0035,Пловдив,София,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-17T21:02:00.000Z
demo-shp-0036,Пловдив,София,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-17T22:08:00.000Z
demo-shp-0033,Варна,София,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-18T19:11:00.000Z
demo-shp-0034,София,Варна,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-18T22:36:00.000Z
demo-shp-0032,София,Варна,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-19T20:46:00.000Z
demo-shp-0031,Пловдив,София,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-20T20:56:00.000Z
demo-shp-0029,Варна,София,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-21T19:18:00.000Z
demo-shp-0028,София,Варна,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-21T20:43:00.000Z
demo-shp-0027,Пловдив,София,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-22T21:32:00.000Z
demo-shp-0026,Варна,София,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-22T22:19:00.000Z
demo-shp-0025,София,Варна,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-23T20:50:00.000Z
demo-shp-0024,Варна,София,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-24T19:19:00.000Z
demo-shp-0023,Варна,София,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-24T21:07:00.000Z
demo-shp-0022,Пловдив,София,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-25T19:41:00.000Z
demo-shp-0021,Пловдив,София,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-25T20:23:00.000Z
demo-shp-0020,София,Варна,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-26T21:35:00.000Z
demo-shp-0019,Варна,София,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-27T19:33:00.000Z
demo-shp-0018,Варна,София,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-27T20:10:00.000Z
demo-shp-0016,Варна,София,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-28T20:04:00.000Z
demo-shp-0017,Пловдив,София,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-28T22:20:00.000Z
demo-shp-0014,Варна,София,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-29T19:47:00.000Z
demo-shp-0013,София,Варна,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-30T21:39:00.000Z
demo-shp-0012,София,Варна,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-31T21:49:00.000Z
demo-shp-0011,Пловдив,София,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-08-31T22:23:00.000Z
demo-shp-0009,София,Пловдив,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-09-01T20:55:00.000Z
demo-shp-0010,София,Пловдив,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-09-01T22:27:00.000Z
demo-shp-0008,Варна,София,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-09-02T20:58:00.000Z
demo-shp-0006,София,Пловдив,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-09-03T20:13:00.000Z
demo-shp-0007,Пловдив,София,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-09-03T22:02:00.000Z
demo-shp-0005,Пловдив,София,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-09-04T19:13:00.000Z
shp-000001,София,Пловдив,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,false,2026-09-05T16:04:27.739Z
shp-000002,София,Пловдив,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,false,2026-09-05T16:55:21.990Z
shp-000003,София,Пловдив,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,false,2026-09-05T17:07:31.037Z
shp-000004,София,Пловдив,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,false,2026-09-05T18:38:56.207Z
shp-000005,София,Пловдив,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,false,2026-09-05T18:40:56.155Z
shp-000006,София,Пловдив,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,false,2026-09-05T18:41:59.240Z
demo-shp-0002,Варна,София,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-09-05T19:49:00.000Z
demo-shp-0001,Пловдив,София,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-09-05T21:31:00.000Z
demo-shp-0003,София,Пловдив,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-09-05T22:07:00.000Z
shp-000007,София,Пловдив,145,26.1,0.73,25.38,GHG-Protocol-Scope3-Cat4-v1,pending,false,2026-09-06T16:08:33.074Z
